id,sex,year,week,date,sample_county,north,east,survey_county,m_north,m_east
BI080084,Hane,2012,38,2012-09-22,Dalarnas län,6711328,476611,Dalarnas län,6717260.421052632,462826.8947368421
BI050240,Hona,2012,38,2012-09-21,Dalarnas län,6861634,368502,Dalarnas län,6860814.8,371247.8
BI050240,Hona,2012,38,2012-09-21,Dalarnas län,6862422,371729,Dalarnas län,6860814.8,371247.8
BI040646,Hona,2012,38,2012-09-22,Dalarnas län,6861503,385469,Dalarnas län,6859449,390878
BI080066,Hane,2012,38,2012-09-23,Dalarnas län,6725366,452988,Dalarnas län,6724958,455770
BI080097,Hona,2012,38,2012-09-23,Dalarnas län,6855966,401094,Dalarnas län,6855798.5,400720.25
BI080097,Hona,2012,38,2012-09-23,Dalarnas län,6855552,401556,Dalarnas län,6855798.5,400720.25
BI080098,Hona,2012,37,2012-09-13,Dalarnas län,6806978,398727,Dalarnas län,6806978,398727
BI080092,Hona,2012,38,2012-09-22,Dalarnas län,6775132,530695,Dalarnas län,6778020,528699
BI080099,Hona,2012,38,2012-09-22,Dalarnas län,6749700,547637,Dalarnas län,6747724.25,552186.75
BI080100,Hona,2012,38,2012-09-17,Dalarnas län,6846397,378149,Dalarnas län,6846397,378149
BI400238,Hane,2012,39,2012-09-24,Dalarnas län,6738249,410688,Dalarnas län,6782282.285714285,393228.85714285716
BI080016,Hona,2012,34,2012-08-24,Dalarnas län,6867123,379660,Dalarnas län,6871298.8,386247.8
BI080101,Hane,2012,40,2012-10-06,Dalarnas län,6767737,536103,Dalarnas län,6766968.666666667,533477.6666666666
BI080102,Hona,2012,38,2012-09-22,Dalarnas län,6858322,396746,Dalarnas län,6858322,396746
BI080103,Hona,2012,38,2012-09-23,Dalarnas län,6725365,452988,Dalarnas län,6726827.5,454984.75
BI080048,Hona,2012,38,2012-09-20,Dalarnas län,6756085,425073,Dalarnas län,6759107.636363637,433822
BI080015,Hane,2012,38,2012-09-21,Dalarnas län,6763318,508869,Dalarnas län,6751878.2,511571.7
